Order ID,Category,Amount,ship-state,Qty
404-0687676-7273146,kurta,329.0,MAHARASHTRA,1
407-1069790-7240320,Top,574.0,TAMIL NADU,1
404-1490984-4578765,Set,824.0,UTTAR PRADESH,1
408-5748499-6859555,Set,653.0,CHANDIGARH,1
402-4393761-0311520,kurta,363.0,TAMIL NADU,1
407-5633625-6970741,kurta,685.0,TAMIL NADU,1
171-4638481-6326716,kurta,364.0,UTTAR PRADESH,1
408-7955685-3083534,Set,657.0,MAHARASHTRA,1
406-9379318-6555504,kurta,329.0,RAJASTHAN,1
405-9013803-8009918,kurta,399.0,DELHI,1
405-5957858-1051546,Set,886.0,KARNATAKA,1
405-0607769-0716360,kurta,517.0,TAMIL NADU,1
404-8494550-5860325,Set,666.0,KARNATAKA,1
171-1305077-2813934,kurta,376.0,TELANGANA,1
402-3384087-4005164,kurta,499.0,ASSAM,1
408-3484251-6901959,kurta,459.0,MAHARASHTRA,1
405-7755803-4729935,kurta,399.0,KARNATAKA,1
171-9040274-9291563,Western Dress,791.0,TAMIL NADU,1
403-7056319-0979561,kurta,499.0,UTTAR PRADESH,1
404-7774085-3780319,kurta,376.0,TELANGANA,1
406-0272200-7784379,Set,666.0,TAMIL NADU,1
403-4367956-2849158,kurta,487.0,DELHI,1
403-4367956-2849158,kurta,368.0,DELHI,1
403-4242957-8599555,kurta,399.0,KERALA,1
408-7165704-5643524,Ethnic Dress,699.0,UTTAR PRADESH,1
402-8210765-3935569,Western Dress,885.0,MADHYA PRADESH,1
408-3478480-0881162,Set,1126.0,UTTAR PRADESH,1
402-7595162-9129931,Set,788.0,MAHARASHTRA,1
171-6876154-6233146,Set,759.0,WEST BENGAL,1
408-3917043-5314763,Set,1146.0,ANDHRA PRADESH,1
408-9281152-6213100,Top,665.0,TELANGANA,1
403-3496411-3082707,kurta,429.0,TELANGANA,1
408-2137113-0982751,Set,848.0,ODISHA,1
402-3628566-9688333,Set,654.0,MAHARASHTRA,1
408-7138000-9728362,Set,1033.0,NAGALAND,1
402-1752649-2274748,kurta,390.0,KARNATAKA,1
402-7944191-1869101,Top,493.0,KARNATAKA,1
407-4063876-9566742,Western Dress,721.0,TELANGANA,1
403-0752752-4656334,Set,597.0,RAJASTHAN,1
406-8879861-2081117,kurta,399.0,ASSAM,1
406-8089333-7941903,Set,888.0,KARNATAKA,1
171-3072652-6805159,kurta,353.0,TELANGANA,1
404-2262140-4696366,kurta,518.0,MAHARASHTRA,1
404-2262140-4696366,kurta,295.0,MAHARASHTRA,1
405-3594372-1614709,Set,852.0,UTTAR PRADESH,1
407-2974257-4781134,Set,824.0,MAHARASHTRA,1
405-4461562-9113959,Set,909.0,JHARKHAND,1
404-4535078-5241919,Top,432.0,MAHARASHTRA,1
405-8387725-2971512,Set,545.0,KARNATAKA,1
405-6480932-8759528,Set,1146.0,KARNATAKA,1
408-7029737-8028367,kurta,432.0,MAHARASHTRA,1
402-2105657-2899562,kurta,316.0,KARNATAKA,1
408-7760667-5809130,kurta,329.0,TELANGANA,1
405-8457623-9269955,kurta,399.0,MAHARASHTRA,1
408-6820155-3521913,Set,751.0,ASSAM,1
403-6190683-2687538,Western Dress,791.0,GUJARAT,1
408-4069830-3819562,Set,684.0,WEST BENGAL,1
408-4069830-3819562,Set,1281.0,WEST BENGAL,1
408-4069830-3819562,Set,1186.0,WEST BENGAL,1
171-7367545-7081126,kurta,499.0,TELANGANA,1
403-3763475-2237125,Western Dress,744.0,TAMIL NADU,1
405-1492294-0323520,Western Dress,744.0,UTTARAKHAND,1
171-6833843-5473114,kurta,487.0,GUJARAT,1
403-1477057-8253913,Western Dress,825.0,KERALA,1
408-2114413-6089906,Set,680.0,BIHAR,1
406-5727754-5302723,Set,696.0,GUJARAT,1
405-0901744-8270705,kurta,499.0,GUJARAT,1
408-6357132-2310703,Set,696.0,JAMMU & KASHMIR,1
406-5334922-9670748,kurta,406.0,KARNATAKA,1
402-8519791-3706738,Set,852.0,DELHI,1
408-1830318-0357940,kurta,399.0,HARYANA,1
406-5103760-7326749,kurta,432.0,GUJARAT,1
406-5406738-7113145,Set,788.0,DELHI,1
405-2072502-4089911,Set,599.0,HARYANA,1
405-0882561-5952340,Set,692.0,WEST BENGAL,1
405-8114272-1687512,Set,788.0,DELHI,1
171-6138639-1478731,kurta,318.0,TELANGANA,1
405-4059216-4541150,Set,597.0,TELANGANA,1
405-1152015-7333945,Set,888.0,BIHAR,1
406-0177436-6731556,kurta,406.0,TELANGANA,1
406-0715107-8168308,Set,1186.0,UTTARAKHAND,1
405-3002282-6797102,kurta,311.0,WEST BENGAL,1
407-8466904-3461908,Top,387.0,MAHARASHTRA,1
171-3305587-5364338,kurta,348.0,TELANGANA,1
171-2813040-8296320,Set,635.0,KARNATAKA,1
408-9845791-1393151,Set,597.0,PUNJAB,1
402-4277204-2348328,Set,790.0,MADHYA PRADESH,1
171-3049339-2085136,kurta,375.0,ASSAM,1
405-9928526-2470747,Set,1115.0,TELANGANA,1
406-3984186-5973150,Set,788.0,TAMIL NADU,1
171-8635309-7508346,Set,597.0,TAMIL NADU,1
402-8288606-4313118,kurta,517.0,HIMACHAL PRADESH,1
402-8746990-6412346,kurta,442.0,TAMIL NADU,1
402-0294212-5431551,kurta,399.0,UTTAR PRADESH,1
406-1530134-2105912,kurta,518.0,KARNATAKA,1
403-5222550-4437140,kurta,348.0,TAMIL NADU,1
408-3113070-0750756,Set,597.0,MAHARASHTRA,1
404-7796841-1880317,kurta,696.0,DELHI,1
405-2142542-0941949,kurta,363.0,TELANGANA,1
405-0286717-7761132,kurta,299.0,TELANGANA,1
406-9021273-9221106,Western Dress,690.0,ASSAM,1
404-5381335-4577925,Top,574.0,KARNATAKA,1
171-8061614-5688327,Set,999.0,ANDHRA PRADESH,1
407-8248783-4261958,kurta,487.0,CHHATTISGARH,1
406-7779874-9136347,Set,1115.0,UTTARAKHAND,1
406-9638549-1733961,Set,517.0,KARNATAKA,1
407-8801185-0134713,Set,1126.0,KARNATAKA,1
171-3625443-6505905,Western Dress,725.0,KERALA,1
402-2820441-9623566,Western Dress,721.0,ODISHA,1
171-4312987-5366767,Set,666.0,BIHAR,1
403-5189998-9343503,Set,496.0,TELANGANA,1
406-0974406-3179521,kurta,458.0,TAMIL NADU,1
402-0048138-1845122,Set,1115.0,NAGALAND,1
407-6283946-7749133,Ethnic Dress,845.0,KARNATAKA,1
407-3742007-3242711,kurta,517.0,TELANGANA,1
407-3742007-3242711,kurta,517.0,TELANGANA,1
405-3067317-3360344,kurta,599.0,UTTAR PRADESH,1
406-5648244-8317954,Top,487.0,DELHI,1
171-3460653-0171519,Top,487.0,HARYANA,1
404-5337874-2284337,Set,568.0,KARNATAKA,1
402-3329522-2367566,kurta,295.0,MAHARASHTRA,1
406-3078054-1755513,kurta,484.0,UTTAR PRADESH,1
171-4647176-6456305,Set,626.0,MAHARASHTRA,1
408-5011528-8276347,Set,563.0,UTTAR PRADESH,1
406-2849582-6531553,Top,512.0,UTTAR PRADESH,1
407-5875767-6399551,Set,1112.0,TELANGANA,1
404-3907920-5281963,kurta,376.0,TELANGANA,1
408-7310428-6047538,Western Dress,859.0,KARNATAKA,1
403-2608092-6065935,Set,597.0,KARNATAKA,1
404-9760385-9109154,kurta,329.0,TELANGANA,1
402-2720308-2560327,Western Dress,665.0,MAHARASHTRA,1
402-0589123-6183541,Set,582.0,MAHARASHTRA,1
408-3874942-9917143,Set,1126.0,UTTAR PRADESH,1
402-1706149-0949104,kurta,534.0,MAHARASHTRA,1
407-1672316-3245939,kurta,319.0,TAMIL NADU,1
405-1832646-7988329,kurta,368.0,MAHARASHTRA,1
405-3036350-8089120,kurta,795.0,GUJARAT,1
406-2966654-4672325,kurta,692.0,UTTAR PRADESH,1
403-4845285-4565113,Top,563.0,JAMMU & KASHMIR,1
171-4496851-5319548,Top,545.0,KARNATAKA,1
408-3416118-1167564,Set,999.0,ARUNACHAL PRADESH,1
406-1590113-9193914,Set,654.0,WEST BENGAL,1
404-0363929-8015528,Top,588.0,MAHARASHTRA,1
405-6880044-2861120,kurta,517.0,RAJASTHAN,1
171-1851948-5476361,Set,1115.0,MANIPUR,1
171-5810429-4493110,Set,582.0,WEST BENGAL,1
171-1068229-1581965,Set,449.0,WEST BENGAL,1
402-2105140-3584364,kurta,375.0,KARNATAKA,1
403-3561336-3563535,Set,771.0,GUJARAT,1
402-9532672-5385917,kurta,399.0,TAMIL NADU,1
402-2211107-5096323,Set,654.0,UTTAR PRADESH,1
403-9412025-7537140,kurta,424.0,KERALA,1
171-8452330-4756317,Top,432.0,MAHARASHTRA,1
405-8692900-3888310,kurta,399.0,KARNATAKA,1
402-6750101-3923558,Set,597.0,KERALA,1
403-5725327-6264327,Top,463.0,UTTAR PRADESH,1
403-5209693-1173944,kurta,484.0,UTTAR PRADESH,1
403-8255889-7526765,kurta,635.0,BIHAR,1
407-3554912-7244363,kurta,685.0,ASSAM,1
171-2842936-5423534,Top,487.0,KARNATAKA,1
402-9580874-3525948,Set,696.0,KERALA,1
404-7426070-1355530,kurta,329.0,TELANGANA,1
406-4878137-1126707,kurta,517.0,MAHARASHTRA,1
171-3505516-3505949,Set,591.0,MAHARASHTRA,1
406-6199849-7523514,kurta,406.0,KERALA,1
406-6180074-2350757,Set,684.0,KARNATAKA,1
406-6180074-2350757,Set,1115.0,KARNATAKA,1
407-2307966-4961113,kurta,442.0,KARNATAKA,1
404-5539778-0029904,Set,563.0,ASSAM,1
171-6222676-0740318,kurta,435.0,DELHI,1
403-2166075-2254703,Set,563.0,KARNATAKA,1
